wl,n
0.2100,1.5383576204905
0.2450,1.5102724365895
0.2800,1.4941636611188
0.3150,1.4839008951423
0.3500,1.476891413496
0.3850,1.4718556531995
0.4200,1.4680936900401
0.4550,1.46519309996
0.4900,1.4628966820387
0.5250,1.4610366660574
0.5600,1.4594995356592
0.5950,1.458206104926
0.6300,1.4570996888769
0.6650,1.4561387969803
0.7000,1.4552924662623
0.7350,1.454537192876
0.7700,1.4538548630589
0.8050,1.4532313266004
0.8400,1.4526553936728
0.8750,1.4521181167939
0.9100,1.451612268629
0.9450,1.4511319566977
0.9800,1.4506723353353
1.015,1.4502293877559
1.050,1.4497997593263
1.085,1.4493806287126
1.120,1.4489696073537
1.155,1.4485646603469
1.190,1.4481640436751
1.225,1.4477662540207
1.260,1.4473699883562
1.295,1.4469741111889
1.330,1.4465776278426
1.365,1.4461796625343
1.400,1.4457794402848
1.435,1.4453762719132
1.470,1.4449695415266
1.505,1.4445586960405
1.540,1.4441432363602
1.575,1.4437227099274
1.610,1.4432967043935
1.645,1.4428648422301
1.680,1.4424267761167
1.715,1.4419821849822
1.750,1.4415307705927
1.785,1.4410722546016
1.820,1.4406063759896
1.855,1.440132888836
1.890,1.4396515603723
1.925,1.4391621692763
1.960,1.438664504173
1.995,1.438158362312
2.030,1.4376435483981
2.065,1.4371198735528
2.100,1.4365871543902
2.135,1.4360452121918
2.170,1.435493872166
2.205,1.4349329627838
2.240,1.4343623151781
2.275,1.4337817626007
2.310,1.4331911399286
2.345,1.4325902832137
2.380,1.431979029271
2.415,1.4313572152994
2.450,1.4307246785328
2.485,1.4300812559156
2.520,1.4294267838019
2.555,1.4287610976737
2.590,1.4280840318763
2.625,1.4273954193693
2.660,1.4266950914905
2.695,1.4259828777305
2.730,1.4252586055186
2.765,1.4245221000158
2.800,1.4237731839158
2.835,1.4230116772521
2.870,1.4222373972096
2.905,1.4214501579411
2.940,1.4206497703869
2.975,1.4198360420966
3.010,1.4190087770532
3.045,1.4181677754984
3.080,1.4173128337577
3.115,1.4164437440668
3.150,1.415560294396
3.185,1.414662268275
3.220,1.4137494446147
3.255,1.412821597528
3.290,1.411878496148
3.325,1.4109199044426
3.360,1.4099455810268
3.395,1.4089552789703
3.430,1.4079487456017
3.465,1.4069257223074
3.500,1.4058859443263
3.535,1.4048291405385
3.570,1.4037550332482
3.605,1.402663337961
3.640,1.401553763154
3.675,1.4004260100389
3.710,1.3992797723176
